analyzer_name,category,ruleid,rulename,severity,header,ruledoc_url
tslint,TSLint.TSLintMicrosoftContrib,chai-vague-errors,chai-vague-errors,3,chai-vague-errors,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,export-name,export-name,3,export-name,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,useisnan,useisnan,3,useisnan,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,jquery-deferred-must-complete,jquery-deferred-must-complete,3,jquery-deferred-must-complete,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,missing-jsdoc,missing-jsdoc,3,missing-jsdoc,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,missing-optional-notation,missing-optional-notation,3,missing-optional-notation,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,mocha-avoid-only,mocha-avoid-only,3,mocha-avoid-only,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-backbone-get-set-outside-model,no-backbone-get-set-outside-model,3,no-backbone-get-set-outside-model,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-banned-terms,no-banned-terms,3,no-banned-terms,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-constant-condition,no-constant-condition,3,no-constant-condition,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-control-regex,no-control-regex,3,no-control-regex,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-cookies,no-cookies,3,no-cookies,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-delete-expression,no-delete-expression,3,no-delete-expression,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-disable-auto-sanitation,no-disable-auto-sanitation,3,no-disable-auto-sanitation,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-document-write,no-document-write,3,no-document-write,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-duplicate-parameter-names,no-duplicate-parameter-names,3,no-duplicate-parameter-names,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-duplicate-case,no-duplicate-case,3,no-duplicate-case,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-empty-interfaces,no-empty-interfaces,3,no-empty-interfaces,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-exec-script,no-exec-script,3,no-exec-script,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-function-constructor-with-string-args,no-function-constructor-with-string-args,3,no-function-constructor-with-string-args,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-function-expression,no-function-expression,3,no-function-expression,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-http-string,no-http-string,3,no-http-string,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-increment-decrement,no-increment-decrement,3,no-increment-decrement,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-for-in,no-for-in,3,no-for-in,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-invalid-regexp,no-invalid-regexp,3,no-invalid-regexp,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-missing-visibility-modifiers,no-missing-visibility-modifiers,3,no-missing-visibility-modifiers,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-multiline-string,no-multiline-string,3,no-multiline-string,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-multiple-var-decl,no-multiple-var-decl,3,no-multiple-var-decl,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-octal-literal,no-octal-literal,3,no-octal-literal,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-regex-spaces,no-regex-spaces,3,no-regex-spaces,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-reserved-keywords,no-reserved-keywords,3,no-reserved-keywords,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-sparse-arrays,no-sparse-arrays,3,no-sparse-arrays,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-string-based-set-interval,no-string-based-set-interval,3,no-string-based-set-interval,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-string-based-set-timeout,no-string-based-set-timeout,3,no-string-based-set-timeout,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-unexternalized-strings,no-unexternalized-strings,3,no-unexternalized-strings,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-unnecessary-semicolons,no-unnecessary-semicolons,3,no-unnecessary-semicolons,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-unnecessary-bind,no-unnecessary-bind,3,no-unnecessary-bind,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-unused-imports,no-unused-imports,3,no-unused-imports,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,no-with-statement,no-with-statement,3,no-with-statement,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,prefer-array-literal,prefer-array-literal,3,prefer-array-literal,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,promise-must-complete,promise-must-complete,3,promise-must-complete,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,react-no-dangerous-html,react-no-dangerous-html,3,react-no-dangerous-html,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,use-named-parameter,use-named-parameter,3,use-named-parameter,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TSLintMicrosoftContrib,valid-typeof,valid-typeof,3,valid-typeof,https://github.com/Microsoft/tslint-microsoft-contrib
tslint,TSLint.TypeScript,member-access,member-access,3,member-access,http://palantir.github.io/tslint/rules/member-access
tslint,TSLint.TypeScript,member-ordering,member-ordering,3,member-ordering,http://palantir.github.io/tslint/rules/member-ordering
tslint,TSLint.TypeScript,no-any,no-any,3,no-any,http://palantir.github.io/tslint/rules/no-any
tslint,TSLint.TypeScript,no-inferrable-types,no-inferrable-types,3,no-inferrable-types,http://palantir.github.io/tslint/rules/no-inferrable-types
tslint,TSLint.TypeScript,no-internal-module,no-internal-module,3,no-internal-module,http://palantir.github.io/tslint/rules/no-internal-module
tslint,TSLint.TypeScript,no-var-requires,no-var-requires,3,no-var-requires,http://palantir.github.io/tslint/rules/no-var-requires
tslint,TSLint.TypeScript,typedef,typedef,1,typedef,http://palantir.github.io/tslint/rules/typedef
tslint,TSLint.TypeScript,typedef-whitespace,typedef-whitespace,3,typedef-whitespace,http://palantir.github.io/tslint/rules/typedef-whitespace
tslint,TSLint.Functionality,ban,ban,3,ban,http://palantir.github.io/tslint/rules/ban
tslint,TSLint.Functionality,curly,curly,3,curly,http://palantir.github.io/tslint/rules/curly
tslint,TSLint.Functionality,forin,forin,3,forin,http://palantir.github.io/tslint/rules/forin
tslint,TSLint.Functionality,label-position,label-position,3,label-position,http://palantir.github.io/tslint/rules/label-position
tslint,TSLint.Functionality,label-undefined,label-undefined,3,label-undefined,http://palantir.github.io/tslint/rules/label-undefined
tslint,TSLint.Functionality,no-arg,no-arg,3,no-arg,http://palantir.github.io/tslint/rules/no-arg
